Price,Close
Ticker,AAPL
Date,
2018-01-02,40.304176330566406
2018-01-03,40.297157287597656
2018-01-04,40.48433303833008
2018-01-05,40.94525909423828
2018-01-08,40.793182373046875
2018-01-09,40.788490295410156
2018-01-10,40.77914047241211
2018-01-11,41.010772705078125
2018-01-12,41.43425750732422
2018-01-16,41.223697662353516
2018-01-17,41.904541015625
2018-01-18,41.941986083984375
2018-01-19,41.75481033325195
2018-01-22,41.4132080078125
2018-01-23,41.42256164550781
2018-01-24,40.76277160644531
2018-01-25,40.03512191772461
2018-01-26,40.128700256347656
2018-01-29,39.298091888427734
2018-01-30,39.06644821166992
2018-01-31,39.17409133911133
2018-02-01,39.25596618652344
2018-02-02,37.55265808105469
2018-02-05,36.614437103271484
2018-02-06,38.14461135864258
2018-02-07,37.328041076660156
2018-02-08,36.300899505615234
2018-02-09,36.74492645263672
2018-02-12,38.22494888305664
2018-02-13,38.60788345336914
2018-02-14,39.319705963134766
2018-02-15,40.6400032043457
2018-02-16,40.50843048095703
2018-02-20,40.3721809387207
2018-02-21,40.188934326171875
2018-02-22,40.524871826171875
2018-02-23,41.22966384887695
2018-02-26,42.044857025146484
2018-02-27,41.908607482910156
2018-02-28,41.84518051147461
2018-03-01,41.1121940612793
2018-03-02,41.39646911621094
2018-03-05,41.53976821899414
2018-03-06,41.5045280456543
2018-03-07,41.1192512512207
2018-03-08,41.567970275878906
2018-03-09,42.28213119506836
2018-03-12,42.69090270996094
2018-03-13,42.27979278564453
2018-03-14,41.92033767700195
2018-03-15,41.96967697143555
2018-03-16,41.82168960571289
2018-03-19,41.18267822265625
2018-03-20,41.16858673095703
2018-03-21,40.23592758178711
2018-03-22,39.66740036010742
2018-03-23,38.74884796142578
2018-03-26,40.588321685791016
2018-03-27,39.54758834838867
2018-03-28,39.110618591308594
2018-03-29,39.41602325439453
2018-04-02,39.157615661621094
2018-04-03,39.559329986572266
2018-04-04,40.3157958984375
2018-04-05,40.595375061035156
2018-04-06,39.55698013305664
2018-04-09,39.949317932128906
2018-04-10,40.701072692871094
2018-04-11,40.51078414916992
2018-04-12,40.910160064697266
2018-04-13,41.04876708984375
2018-04-16,41.30483627319336
2018-04-17,41.87335968017578
2018-04-18,41.77939987182617
2018-04-19,40.595375061035156
2018-04-20,38.93207550048828
2018-04-23,38.819313049316406
2018-04-24,38.278987884521484
2018-04-25,38.445770263671875
2018-04-26,38.57969665527344
2018-04-27,38.133323669433594
2018-04-30,38.824005126953125
2018-05-01,39.72612762451172
2018-05-02,41.48103713989258
2018-05-03,41.556217193603516
2018-05-04,43.18661117553711
2018-05-07,43.499053955078125
2018-05-08,43.7081413269043
2018-05-09,44.015899658203125
2018-05-10,44.6454963684082
2018-05-11,44.475711822509766
2018-05-14,44.37194061279297
2018-05-15,43.968666076660156
2018-05-16,44.37900924682617
2018-05-17,44.09836196899414
2018-05-18,43.93800354003906
2018-05-21,44.24930191040039
2018-05-22,44.138458251953125
2018-05-23,44.42146301269531
2018-05-24,44.37194061279297
2018-05-25,44.47334289550781
2018-05-29,44.31298065185547
2018-05-30,44.218650817871094
2018-05-31,44.070068359375
2018-06-01,44.86481857299805
2018-06-04,45.239803314208984
2018-06-05,45.58883285522461
2018-06-06,45.74683380126953
2018-06-07,45.624210357666016
2018-06-08,45.20914077758789
2018-06-11,45.09830093383789
2018-06-12,45.345916748046875
2018-06-13,44.973304748535156
2018-06-14,44.99689865112305
2018-06-15,44.5346565246582
2018-06-18,44.51107406616211
2018-06-19,43.79179000854492
2018-06-20,43.98281478881836
2018-06-21,43.737545013427734
2018-06-22,43.610198974609375
2018-06-25,42.96165084838867
2018-06-26,43.4946403503418
2018-06-27,43.43096923828125
2018-06-28,43.746978759765625
2018-06-29,43.65500259399414
2018-07-02,44.1431770324707
2018-07-03,43.37437438964844
2018-07-05,43.723384857177734
2018-07-06,44.32948684692383
2018-07-09,44.94500732421875
2018-07-10,44.890750885009766
2018-07-11,44.30825424194336
2018-07-12,45.0511360168457
2018-07-13,45.12187194824219
2018-07-16,45.022823333740234
2018-07-17,45.15018844604492
2018-07-18,44.902549743652344
2018-07-19,45.25160217285156
2018-07-20,45.1478271484375
2018-07-23,45.18791198730469
2018-07-24,45.515724182128906
2018-07-25,45.94493865966797
2018-07-26,45.80107879638672
2018-07-27,45.039329528808594
2018-07-30,44.78699493408203
2018-07-31,44.87660217285156
2018-08-01,47.520301818847656
2018-08-02,48.90935516357422
2018-08-03,49.05085372924805
2018-08-06,49.3055534362793
2018-08-07,48.84332275390625
2018-08-08,48.87633514404297
2018-08-09,49.26074981689453
2018-08-10,49.114017486572266
2018-08-13,49.43114471435547
2018-08-14,49.639408111572266
2018-08-15,49.755367279052734
2018-08-16,50.48427963256836
2018-08-17,51.492454528808594
2018-08-20,50.990726470947266
2018-08-21,50.891334533691406
2018-08-22,50.893707275390625
2018-08-23,50.99782943725586
2018-08-24,51.15639877319336
2018-08-27,51.5776481628418
2018-08-28,51.994171142578125
2018-08-29,52.77039337158203
2018-08-30,53.25556564331055
2018-08-31,53.87088394165039
2018-09-04,54.04365158081055
2018-09-05,53.691017150878906
2018-09-06,52.79881286621094
2018-09-07,52.372825622558594
2018-09-10,51.66995620727539
